category,text
religion,"did you ever meet someone you just knew was going to change your life dr. nori rost leaves lots of people feeling like that. nori is one of the most deep hearted and dedicated people i know. as a spiritual educator she shares my enthusiasm for interfaith study and conversation and she s served on the in good faith clergy panel since its inception in 2013. her decades of social justice leadership in the pikes peak region have resulted in measurable shifts and changes. she s as brilliant as she is irreverently funny and she s leaving our city for the big apple at the end of june. in this last interview with her i asked nori to reflect a bit on her time here. i moved to colorado springs in january 1994 in the wake of amendment 2. over 50 percent of voters passed that legislation two years earlier making it illegal for state and local governments to include sexual orientation in their anti discrimination clauses. i came to serve pikes peak metropolitan community church as their minister specifically to speak out against this. at that time colorado springs was known as ground zero colorado was called the hate state. in my 12 years of service there i led demonstrations outside of focus on the family when they held their anti gay conferences being a voice of faith for a community that had been cast out from their churches and homes. then in 2008 i made a uu turn unitarian universalist broadening my definition of faith to one that included pagans buddhists atheists humanists theists those who are seeking. i became the minister at all souls unitarian universalist church taking my activism with me speaking out for justice in marginalized communities. we became the sole sanctuary congregation housing neighbors threatened with deportation so that they could continue seeking legal residency here. in my 27 years in colorado springs the religious right groups that championed amendment 2 have largely become irrelevant. our city and our state have become more diverse and progressive. we now have a gay governor who seeks to include all at the table of justice. while those who would exclude others based on sexual orientation race and other issues still hold sway politically our city has shifted culturally to one of compassion and inclusion. as i prepare to leave colorado springs for new york city where i ll lead the new york society for ethical culture i m proud of the work we ve done here. because we refused to abide by the bigoted views of some we ve changed our city. we ve come a long way but there is still much to do. those of us with white privilege must continue the hard work of dismantling white supremacy. we must continue to fight the onslaught against women s agency over their bodies. if women and the bipoc communities can gain true emancipation from white patriarchy we will have set the stage for justice to come to all. i will continue the same in nyc. i am grateful for the activist communities in colorado springs. i was forged in the fire of justice here. i take that strength with me as i leave. ahriana platten is founder executive director of in good faith leads unity spiritual center and speaks around the country on the topics of interfaith and intercultural understanding. """
humanInterest,"the assiniboine park zoo says they will reopen next tuesday. as a large mostly outdoor attraction we are pleased to be in a position to safely reopen the zoo and so grateful to our members visitors and community for their patience and support said bruce keats the zoo s chief operations officer. read more name those llamas winnipeg zoo welcomes new arrivals . the zoo closed to the public on may 9 amid the third wave of the covid 19 pandemic though it was not required to do so under public health orders he said. after talking with public health the zoo is ready to reopen. those with zoo memberships will get a sneak peek on sunday and monday. the new exhibit dinosaurs uncovered will be open as well. the zoo is reopening next week get ready for some llama action . people who wish to go should buy tickets online. the zoo will be open from 9 to 5 every day and take out service will be available at the tundra grill restaurant and concession stands. physical distancing also applies to animals. please respect all habitat barriers and barricades said the zoo. 4 43 aunt sally s farm re opens in winnipeg . """
health,"alcohol free aqueous non inflammable and non toxic hand sanitiser developed from silver nanoparticles will be available in the market soon. weinnovate biosolutions pune based start up set up by scientists has developed the hand sanitiser that prolongs antimicrobial activity thus obviating the need for repeated applications. we have completed clinical trials and submitted the data to the central license authority and we expect the product in the market soon. we are a group of scientists working on the use of silver nanoparticles in medical applications said milind choudhary founder and ceo of weinnovate biosolutions speaking to businessline. he added that a study to evaluate the efficacy of hand sanitiser on different types of viruses is underway. we are confident of the study outcomes and waiting to get the licence for our hand sanitiser formulation from cdsco india. we are sure that such innovation will push india towards its atmanirbhar bharat mission and make india a self sustained nation to face such pandemics in future said anupama engineer cofounder and coo weinnovate biosolutions said in a press release. the release added that silver nanoparticles give a slow and sustained release of silver ions to kill micro organisms that come in contact. besides it can be stored in ambient conditions. weinnovate biosolutions was supported by cawach 2020 grant of the national science and technology entrepreneurship development board nstedb under the department of science and technology dst and incubated at entrepreneurship development centre venture centre pune. silver nanoparticles have been found to be an effective antiviral that acts against many deadly viruses like hiv hepatitis b herpes simplex virus influenza virus and so on. recent reports have suggested the role of glutathione capped ag2s ncs silver nanoclusters in inhibiting the proliferation of coronavirus by preventing the synthesis of viral negative strand rna and viral budding. the colloidal silver on which the technology of the sanitisers of weinnovate biosolutions is based can help arrest covid 19 spread by blocking the rna replication and infectivity by blocking the surface glycoproteins the statement added. """
education,"gregory leader of learning and curriculum at bethlehem college ashfield. job title leader of learning and curriculum at bethlehem college ashfield. i support diverse learning in the school by running committees for teaching gifted students and facilitating the work of our learning support teachers. i liaise with my colleagues from other schools to share best practice and of course meet with students who need advice in relation to their learning generally and specific issues such as subject selection and managing external subjects they may take at providers such as uts tafe and the nsw school of languages. i also teach my history and legal studies classes and engage in my speciality extra curricular activities public speaking debating and dance. my interest in teaching was sparked after a series of sessions with an employment counsellor. i had been working as a corporate lawyer and had found myself seriously questioning my career choice. essentially i couldn t reconcile my desire to contribute positively to the world with what i was doing every day which i felt was really just making multi million dollar companies even richer . the employment counsellor actually recommended i complete an mba but the whole counselling process screamed teaching to me. it helped that i had been teaching dance since i was 15 years old so i knew it was something i could do and that i enjoyed. as soon as i began my first teaching practicum i knew that i had made the right decision. i get a huge kick out of meeting students in a classroom for the first time at the start of every year and then slowly but surely getting to know each of them and i hope using positivity structure and support seeing them achieve their potential academically. i also really enjoy meeting new people from parents to fellow teachers executive members groundspeople and administration and support staff. i love developing these relationships over time. when the lockdown happened we had about 12 hours to move all of our in person teaching skills online. luckily i like most of my colleagues was already used to using applications like google classroom which allowed us to maintain communication with our students. the pandemic also forced us to embrace new technologies such as zoom. how did you transfer skills from your previous job to teaching . my previous role as a solicitor required me to be highly analytical and a good communicator and negotiator. a lot of my present job is now spent analysing school wide data sets and current pedagogical research in order to determine how best to improve student learning and outcomes. i also need to negotiate with the executive my leadership team heads of department and the toughest negotiators of them all teenage students. what advice do you have for people wanting to get into a career related to your skills and experience . my advice to those who are thinking of a career in teaching is to consider how well they can empathise with students before thinking about how passionately they want to teach their subject. also in order to be a good teacher you must be excited to learn new skills content and teaching techniques and have the ability to accept that you can t get it right all of the time. what personal skills do people need in teaching a strong sense of empathy passion and drive to continue learning and improving and a strong disinterest in personal gain and ego. """
social,meghan britain s duchess of sussex has given birth to her second child a girl whom she and husband prince harry have named after queen elizabeth and his late mother princess diana. lilibet lili diana mountbatten windsor was born on friday at the santa barbara cottage hospital in california with harry in attendance. the couple s first child archie was born in 2019. the choice of name pays tribute to the queen after a difficult year for the couple and the wider royal family. lilibet is a family nickname for the 95 year old british monarch. buckingham palace said the queen harry s father prince charles and his brother and wife prince william and kate were delighted with the news. britain s prime minister boris johnson joined them in sending his congratulations. read more . meghan and harry announced the birth with a statement. thank you for your continued kindness and support during this very special time for our family. harry and meghan said lilibet s middle name was chosen to honour her grandmother princess diana who died in a paris car crash in 1997. the nature of the announcement almost two days after the birth reflects the new life the couple have chosen in the united states. when william s wife kate gave birth to her three children in recent years she emerged each time alongside her husband from a london hospital just a few hours later to be photographed by the world s media that had camped out in the street. the birth of lilibet comes almost a year and a half after harry and meghan announced that they intended to step down from their royal roles plunging the family into crisis. the situation deteriorated sharply in march this year when they gave an explosive interview to chat show host oprah winfrey accusing one unnamed royal of making a racist remark and saying meghan s pleas for help when she felt suicidal were ignored. the 39 year old whose mother is black and father is white said she had been naive before marrying into royalty. since the interview harry had made further public criticism of his childhood creating another public relations crisis for the royal family which is led by his grandmother the queen and 72 year old prince charles. just last month harry spoke of the trauma of the loss of his mother and how that was compounded when he had to walk as a 12 year old behind her coffin in a funeral cortege under the glare of the world s media. the queen who lost her husband prince philip in april after 73 years of marriage has said she was saddened to learn of the experiences of harry and meghan. the couple said they would be taking parental leave from their charity archewell and have asked people who want to send gifts to support or learn about charities doing work for women and girls the archewell website said. the names given to the baby also echo those given to the only daughter of prince william harry s elder brother who is called charlotte elizabeth diana. 
education,"hyderabad amrita vishwa vidyapeetham ranked the 4th best overall university in india in the 2020 nirf ranking has launched its much acclaimed online labs for school experiments called olabs in maldives for all of the island country s schools. olabs enables school students anywhere in the world to conduct online lab experiments more efficiently and less expensively through the internet. it has been developed by the varsity in partnership with cdac mumbai based on a research grant by the ministry of electronics information technology meity govt. of india. amrita vishwa vidyapeetham has provided training to 194 teachers and teacher educators from various schools of maldives to integrate olabs in their teaching practice. the online training session was attended by fathimath naseer the minister of state for education maldives anil kumar pipal hod elearning divisions ministry of electronics information technology govt. of india and prof. madhu parhar director commonwealth educational media centre for asia cemca among others. said prof. prema nedungadi director amritacreate amrita vishwa vidyapeetham who is leading the olabs initiative at the varsity we are extremely delighted to launch olabs for the benefit of school students in maldives. the aim is to provide high quality laboratory access in science mathematics and english for students and faculty members of maldives helping enhance teaching and learning outcomes. lab experiments are an integral part of science and engineering education. however access to lab equipment is often limited for school students due to resource constraints. online labs provide an alternative to physical hands on labs in schools where such labs are not present or augment existing access to experiments. there is an urgent need for integration of virtual labs into school learning across the world. said fathima naseer hon ble minister of state for education maldives maldives is a nation with many geographical challenges and has few resources such as laboratories in schools. the launch of olabs in our country is a golden opportunity for our school students to get access to high quality virtual labs for performing various experiments and excel in their education. olabs enables school students from classes 9 to 12 to understand and perform online laboratory experiments free of cost. the program hosts virtual experiments in physics chemistry and biology developed by amrita create with content aligned to ncert cbse and state board syllabus. the mathematics and english components have been developed by cdac mumbai. the experiments offered on olabs have been evaluated and endorsed by cbse. olabs is hosted on india s national knowledge network and is offered free of cost to any school. the experiments are available in several languages including english hindi malayalam and marathi. olabs is also being used in several european countries and its experiments have been translated into spanish. added prof. prema nedungadi olabs can be used as a supplementary resource for schools that have their own labs as well as a primary resource for schools in rural areas which lack lab infrastructure. it has been hugely useful for school students in covid times. the number of online users of olabs has doubled from 16 lakhs in pre covid times to 32 lakhs today. the program is currently in use across 12000 schools in india. olabs was launched in december 2015 by the hon ble minister of meity shri ravi shankar prasad. """
other,"leaving his personal care attendant job several weeks ago george nathaniel iii got into his car and started driving but the trip did n t last long. the chaska resident knew his blood sugars were going low so he stopped at a nearby gas station to drink a soda. nathaniel 57 has type one diabetes an incurable autoimmune disease with no known cause affecting the pancreas and needs to constantly manage his blood sugars with carbohydrates and insulin. two sodas later and with an emergency blood sugar reading of low on his meter he knew he needed help. i knew at that point i couldn t drive anymore he says. i was feeling really faint. he flagged down a nearby police officer also parked in the speedway gas station near two twelve medical center. i opened the door and asked him if he would be able to help me nathaniel says. kyle gibbons called an ambulance and stayed with him until it arrived taking him to the hospital where he recovered. that really really was amazing because i almost lost consciousness. if i lost consciousness i would ve went into a diabetic coma nathaniel says. by him being there and keeping me alert until the paramedics came that was really really major for me. gibbons who was reviewing police reports in the lot at the time says he simply followed protocol. this incident came after he won carver county sheriff s office s life saving award last year for dealing with a medical incident. it was just me being at the right place at the right time gibbons says. i m glad i was there and he did n t continue to drive. a person who has low blood sugar can go have a seizure i m glad he approached me and told me what was going on. nathaniel says he relays what happened for a reason. we ve been having so many situations with white officers and blacks and it not going well it not looking good says nathaniel who is african american. i wanted to share my story because it will give some hope from both ends. a few weeks later more good was happening just south. hiltrud steimel a plymouth resident was on her way to a friend s birthday party in chaska when she got lost. i rolled my window down and i said if you knew how happy i am to see you she says. he said i ll turn my car around you ll turn your car around and i ll show you where to go. """
disaster,"the colombian presidential helicopter that was hit by gunfire on june 25  2021. afp or licensors . colombia s president has narrowly averted assassination  after the helicopter in which he and three others were flying was fired upon. colombian president ivan duque  the minister of defence  the minister of interior and a regional governor  were being flown in a helicopter to the city of cucuta in the province of santander norte  when their helicopter came under heavy and sustained groundfire from rebel gunman  armed with high calibre rifles. the helicopter was hit several times  but the bullets missed their intended target of the rotor blades. no one was wounded or injured. the airspace is close to the border with venezuela. below lies a remote area where the national liberation army  better known as the eln  operates. no peace agreement between them and the colombian government has been finalized  unlike it was in 2016  with the revolutionary armed forces of colombia the farc. president duque has condemned the attack as cowardly. he s vowing to use the army to hunt down the gunmen and bring them to justice. the eln was formed in 1964  the same year as the farc. its three thousand guerrillas are condemned as terrorists by both the united states and the european union. they re involved in shootings  bombings and """
environmental,"adani group s australian business bravus strikes coal at carmichael project . jun 24 2021 on adani group s australian business bravus strikes coal at carmichael project . brisbane australia indian multinational conglomerate adani group s australian business re branded as bravus said on june 24 that it has struck coal and exposed the first of coal seams at the carmichael project in the northeastern australian state queensland. david boshoff bravus mining and resources chief executive said it was an exciting day for 2600 plus people on the project a day that has been in the making for over a decade. throughout the last two years of construction and during the many years when we fought to secure our approvals our people have put their hearts and souls into this project he said. it is wonderful that we have now struck coal. nearly two years ago today we received our final approvals to develop the carmichael mine and rail project. we have faced many hurdles along the way but thanks to the hard work and perseverance of our team we have now reached the coal seams. boshoff said bravus was on track to export the first coal as promised this year. we are on track to export first coal this year and despite reaching this significant milestone we will not take our eyes off our larger goal of getting coal to market he said. david boshoff ceo of bravus mining holds a lump of coal at the carmichael mine project. india will be a foundation customer for the carmichael mine and is the fourth largest global user of electricity and the source of the most significant growth in global energy demand. boshoff said bravus has already secured the market for 10 million tonnes per annum of coal produced at carmichael mine. the coal will be sold at index pricing and we will not be engaging in transfer pricing practices which means that all of our taxes and royalties will be paid here in australia he said. india gets the energy they need and australia gets the jobs and economic benefits in the process. carmichael coal will contribute to adani group s burgeoning energy portfolio designed to create a sustainable energy mix incorporating thermal power solar power wind power and gas. boshoff said the adani group had secured its position as the world s largest solar company following last month s announcement that adani green energy limited has acquired sb energy holdings limited which will see adani green energy limited achieve a total renewable energy capacity of gigawatts. the gigawatts will be enough energy to power more than million homes or nearly all the households in australia million each year he said. adani s solar farm at rugby run in central queensland is part of this portfolio with a total capacity of 65 mw going into the regional queensland grid equivalent to powering about 27500 homes each year. as a global company boshoff said they are walking the talk when it comes to delivering a sustainable energy mix. most of australia s energy relies on traditional sources non renewable fossil fuels. coal and gas account for about 79 percent of electricity generation. electricity is produced from burning black and brown coal at large power stations. natural gas is the third highest energy source in australia after oil and coal . power stations use it for electricity generation factories for manufacturing and homes for heating and cooking. however it is a non renewable source that emits around half the coal emissions when used to generate electricity. adani group s australian business bravus strikes coal at carmichael project . """
economy,"square inc. a crypto enabled mobile payment company plans to invest 5 million in a solar powered bitcoin btc mining facility for blockstream mining providing further insight into jack s continued support. chris cook chief information officer of blockstream announced the collaborative partnership on saturday where he outlined plans to build the open source mining facility in one of blockstream s operations in the united states. together we plan to ensure public transparency by sharing the economics of the project and the knowledge we have gained from building a renewable energy powered bitcoin mine he said adding . ultimately we hope to demonstrate how bitcoin mining in conjunction with renewables can help drive the transition to clean energy. in addition to providing regular reports on the status of the project the new initiative will also feature a public performance dashboard where anyone can pull real time metrics from the mining facility. bitcoin mining has come under intense media scrutiny after tesla ceo elon musk decided to stop accepting btc payments for tesla cars citing serious environmental concerns. microstrategy s michael saylor negotiated a truce between musk and the bitcoin mining community last month by bringing the two parties to the table for high level discussions. the industry led bitcoin mining council emerged from the meeting with miners vowing to accelerate sustainability initiatives. as for square inc. the company headed by jack dorsey has stepped up efforts to drive adoption of bitcoin and cryptocurrencies. uktn reported on friday that dorsey is strongly considering developing a bitcoin hardware wallet with the aim of bringing self care and financial inclusion to the masses. if we did we would build it entirely out in the open from software to hardware design and in collaboration with the community he said. mentionned in a twitter post. """
